,city,lat,long,temp,humidity,cloudiness,windspeed,max temp,country,datetime
320,Bathsheba,13.22,-59.52,30.0,70,40,8.7,30.0,BB,1603572220
321,Manuk Mangkaw,4.8,119.85,27.56,76,100,0.48,27.56,PH,1603572220
322,Itzehoe,53.92,9.52,12.58,90,94,3.13,12.78,DE,1603572220
323,Goundam,16.41,-3.67,32.02,11,0,4.88,32.02,ML,1603572221
324,Steinbach am Taunus,50.17,8.57,13.83,71,75,3.6,15.0,DE,1603572221
325,Megion,61.03,76.11,-5.0,85,90,2.0,-5.0,RU,1603572221
326,West Wendover,40.74,-114.07,13.0,17,1,3.1,13.0,US,1603572221
327,Vallenar,-28.57,-70.76,23.28,35,0,3.58,23.28,CL,1603572221
328,Kiama,-34.68,150.87,12.79,89,98,0.45,13.89,AU,1603572222
329,Riyadh,24.69,46.72,20.0,28,0,1.0,20.0,SA,1603572120
330,Puqi,29.72,113.88,15.45,62,100,1.01,15.45,CN,1603572222
